Primary CHOPR Author/Contact - FACULTY LIST - USE DROP DOWN LIST,Primary CHOPR Author/Contact - FELLOWS - USE DROP DOWN LIST,Publication Title/Citation (RA from Tues/Thurs Meeting Announcements- Jan 2025 to present),Date of Acceptance (Tues mtg agenda date),Current Status (accepted or published - please use drop down),"Publication Type (Academic Journal Article; Media Op-Ed, etc.)-- Use drop down list","Scheduled for Digital Board (Gary) - yes, N/A ","Did NIH Fund (No or grant name i.e., PI and short title) - ask corresponding author",Uploaded to NIHMS (initial + date)- Amy or Irene as delegates,PMCID (non-journal = N/A) ,Add publication to CHOPR authors for MyBibliography / ScienCV (for biosketch author URL),,"Once published, URL to a) PMC version or b)  if not NIH, URL to journal site (RA)",Update Column C (full citation) to PubMed citation (Citle> Format: NLM) - date done + initials,PDF of Article Has Been Uploaded to the R Drive? (Initials + Date),Penn Nursing Website Faculty Pofile (Date + initials),NOTES
,Olanrewaju,"Olanrewaju S, Kutney-Lee A, Gollinelli D, Carthon MB. Nursing Resources as Mediators of COVID-19 Mortality in High Medicaid-Serving Hospitals. Innov Aging. 2025 Dec 31;9(Suppl 2):igaf122.3820. doi: 10.1093/geroni/igaf122.3820. PMCID: PMC12761938.",12/31/2025,published,Academic Journal Article,No,,,PMC12761938,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12761938/,,waiting for pubmed,,
,Turi," Turi ET, Muir KJ, Lasater KB. Nurse staffing and patient outcomes: A call to action for chronic wound care policy reform. Advances in Wound Care. 2025.https://doi.org/10.1177/21621918251400770",12/16/2025,published,Academic Journal Article,Yes,,,PMC13192300,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC13192300/,,"Yes, LL, 2/1/26",,
Rebecca Clark,,"Nightingale, K. J., Branch, K., Mbakop, C., Burwell, N., Lowenthal, E. D., & Clark, R. R. S. (2025). “I love my baby more than they do”: infant feeding decision-making among mothers living with HIV in the United States. AIDS Care, 1–20. https://doi-org.proxy.library.upenn.edu/10.1080/09540121.2025.2594614",12/16/2025,published,Academic Journal Article,Yes,"Yes -  P30AI045008; PennPREP at the University of Pennsylvania, funded by NIGMS under grant number R25GM071745; Penn CFAR Scholar program, funded through the CDEIPI program under grant number 5P30AI045008",,PMC12814044,,,https://pubmed.ncbi.nlm.nih.gov/41319244/,,"Yes, LL, 2/1/26",,
Karen Lasater,,Organizational Factors to Reattract Nurses into Hospital Employment. JAMA Network OPEN,12/3/2025,accepted,,,,,PMC12887740,,,https://pubmed.ncbi.nlm.nih.gov/41661597/,,"Yes, LL, 2/1/26",,
,Olanrewaju,"Olanrewaju, S., Loeb, S. J., Boltz, M., & Jao, Y. L. (2025). Internationally Educated Nurses' Experiences of Working in U.S. Long-Term Care Settings. Research in nursing & health, 10.1002/nur.70034. Advance online publication. https://doi.org/10.1002/nur.70034 ",11/30/2025,published,Academic Journal Article,Yes,No,,PMC12779205,,,https://pubmed.ncbi.nlm.nih.gov/41319309/,,"Yes, LL, 2/1/26",N/A - fellow,
Linda Aiken,,"Aiken LH, Sermeus W, McKee M, et al. Informing Hospital Physician Well-Being Interventions in Europe and the US. JAMA Netw Open. 2025;8(11):e2544067. doi:10.1001/jamanetworkopen.2025.44067",11/17/2025,published,Academic Journal Article,Yes,,,PMC12625684,,,https://pubmed.ncbi.nlm.nih.gov/41247731/,,"GR, 11.18","GR, 11.18",
Kathryn Connell,,"Connell KA, Dayton K, Engel H, Barr J. Beyond the treatment of mechanically ventilated adults with early activity and mobilization (TEAM) trial: why the cost-effectiveness of early mobilization in ICU patients deserves a second look. Crit Care Med. 2025 Nov;53(11):e2391–2. doi:10.1097/CCM.0000000000006838.",11/4/2025,published,Academic Journal Article,Yes,,,,,,https://pubmed.ncbi.nlm.nih.gov/41263874/,11/4 GR,"Yes LL, 1/5/26",,Letter to the Editor
Rebecca Clark,,"Burwell N, Mbakop LC, Branch K, Lowenthal ED, Clark RRS, Nightingale KJ. Recruitment Strategies to Prevent Fraudulent Virtual Enrollment While Respecting Privacy in Vulnerable Populations. Qual Health Res. 2025 Oct 31:10497323251378095. doi: 10.1177/10497323251378095. Epub ahead of print. PMID: 41172108.",10/31/2025,published,Academic Journal Article,Yes,,,PMC12867122,,,https://pubmed.ncbi.nlm.nih.gov/41172108/,11/3 GR,"Yes LL, 1/5/26",,
Linda Aiken,,"Kohnen D, De Witte H, Schaufeli WB, Dello S, Bruyneel L, Aiken LH, Sermeus W. Key drivers of nurse burnout and work engagement in Europe: A cross-sectional dominance analysis. Int J Nurs Stud. 2025 Oct 15;173:105251. doi: 10.1016/j.ijnurstu.2025.105251. Epub ahead of print. PMID: 41175851.",11/3/2025,published,Academic Journal Article,Yes,,,,,,https://pubmed.ncbi.nlm.nih.gov/41175851/,11/3 GR,"Yes LL, 1/5/26",,Published on 11/03
Kathryn Connell,,"
Connell KA, Yu H, Hobensack M, Turi E. Is the Nursing PhD in Terminal Decline? The Case for Clinician-Scientist Pathways. Nursing Outlook.
",10/28/2025,published,Academic Journal Article,,,,PMC12758571,,,https://pubmed.ncbi.nlm.nih.gov/41240490/,,"Yes LL, 1/5/26",,
