Primary CHOPR Author/Contact - FACULTY LIST - USE DROP DOWN LIST,Primary CHOPR Author/Contact - FELLOWS - USE DROP DOWN LIST,Publication Title/Citation ,All CHOPR Authors (Last name only),Category,Publication Year,"Publication Type (Academic Journal Article; Media Op-Ed, etc.)-- Use drop down list",Journal ,Topic Tags,Project Tags,Dataset Tags,URL,PMCID,NOTES
Linda Aiken,,"Aiken L. “Nursing’s Impact on Nation Outcomes”. 2017 NINR Director’s Lecture, National Institute of Nursing Research, 2 March 2017, Bethesda, MD. Found here: https://www.youtube.com/watch?v=jTZRWPAfDeQ&list=PLXzqLJ4gIAAiHojsaSG8iuxd8C9RCMY-p&index=24&t=16s ",Aiken,Foundational Works,2017,Interview/Podcast,N/A,"Nursing Outcomes
Patient Outcomes
Quality of Care
Health Policy
Nursing Workforce
Evidence-Based Practice",CHOPR Overview,None,https://www.youtube.com/watch?v=jTZRWPAfDeQ&list=PLXzqLJ4gIAAiHojsaSG8iuxd8C9RCMY-p&index=24&t=16s ,N/A,High-level overview of CHOPR's research program and evidence linking nursing to patient and health system outcomes
,,"Mitchell, P. H., Ferketich, S., & Jennings, B. M. (1998). Quality health outcomes model. Image: Journal of Nursing Scholarship 30(1), 43-6.",,Foundational Works,1998,,,,,,,,
,,"Institute of Medicine. (2010).The Future of Nursing. Washington, DC: National Academies Press.",,Foundational Works,2010,,,,,,,,
,,"Aiken, LH, Sochalski, J, Lake, ET. 1997. Studying Outcomes of Organizational Change in Health Services, Medical Care 35(11):NS6-NS18. Download",,Foundational Works,1997,,,,,,,,
,,"Donabedian, A. (1966, Reprinted 2005). Evaluating the Quality of Medical Care. The Milbank Quarterly 83(4): 691-729. Download",,Foundational Works,1966,,,,,,,,
,,"Aiken L.H., Van den Heede K., eds. (2013) Special Issue: Nursing Workforce and Outcomes Research From RN4CAST and Beyond. International Journal of Nursing Studies 50(2): 141-300. ",,International,2013,,,,,,,,
,,"Aiken L.H., Sloane D.M., Bruyneel L., Van den Heede K., Griffiths P., Busse R., Diomidous M., Kinnunen J., Kózka M., Lesaffre E., McHugh M.D., Moreno-Casbas M.T., Rafferty A.M., Schwendimann R., Scott P.A., Tishelman C., van Achterberg T., Sermeus W.; RN4CAST consortium. (2014) Nurse staffing and education and hospital mortality in nine European countries: a retrospective observational study. Lancet:383(9931):1824-30. (cited by 715, as of Jan 2020). Download",,International,2014,,,,,,,,
,,Magnet4Europe Announcement: https://www.nursing.upenn.edu/live/news/1547-4-million-grant-to-improve-mental-health-and ,,International,,,,,,,,,
,,"McHugh MD, Aiken LH, Sloane D, et al. Effects of nurse-to-patient ratio legislation on nurse staffing and patient mortality, readmissions, and length of stay: a prospective study in a panel of hospitals. The Lancet 2021; https://doi.org/10.1016/S0140-6736(21)00768-6",,International,2021,,,,,,,,
,,"Sloane DM, Smith HL, McHugh MD, Aiken LH. (2018) Effect of Changes in Hospital Nursing Resources on Improvements in Patient Safety and Quality of Care: A Panel Study.  Medical Care. ",,Panel Study,2018,,,,,,,,
,,"Lasater KB, Jarrín OF, Aiken LH, McHugh MD, Sloane DM, Smith HL.  A Methodology for Surveying Organizational Performance: A Multistate Survey of Front-Line Providers. Med Care. 2019 Jul 3. doi: 10.1097/MLR.0000000000001167. Download",,Panel Study,2019,,,,,,,,
,,"Lasater KB, Aiken LH, Sloane DM, et al. Chronic hospital nurse understaffing meets COVID-19: an observational study. BMJ Quality & Safety Published Online First: 18 August 2020. doi: 10.1136/bmjqs-2020-011512",,Panel Study,2020,,,,,,,,
,,"Blendon, R. J., Aiken, L. H., Freeman, H. E., Corey, C. (1994).  Access to Medical Care for Black and White Americans: A Matter of Continuing Concern. Journal of the American Medical Association (JAMA) 261(2), 278-281. Reprinted in Harrington, C., & Estes, C. (1994).  Health Policy and Nursing. Boston: Jones and Bartlett",,Disparities,1994,,,,,,,,
,,"Gibbs, B.K., Nsiah-Jefferson, L., McHugh, M. D., Trivedi, A. N., & Prothrow-Stith, D. (2006). “Reducing racial and ethnic health disparities: exploring an outcome-oriented agenda for research and policy.” Journal of Health Politics, Policy & Law, 31(1), 185-218.",,Disparities,2006,,,,,,,,
,,"Brooks-Carthon, J. M., Lasater, K. B., Rearden, J., Holland, S., & Sloane, D. M. (2016). Unmet nursing care linked to rehospitalizations among older black AMI patients: A Cross-Sectional Study of US Hospitals. Medical Care, 54(5), 457-465. Download",,Disparities,2016,,,,,,,,
,,"Brooks Carthon, JM, Brom, H, McHugh, M. Sloane, D, Berg, R, Merchant, R, Girotra, S, Aiken, LH. 2021. Better Nurse Staffing Is Associated With Survival for Black Patients and Diminishes Racial Disparities in Survival After In-Hospital Cardiac Arrests, Medical Care 59(2):169-176 doi: 10.1097/MLR.0000000000001464. Download",,Disparities,2021,,,,,,,,
,,"Aiken L. H., Clarke S. P., Cheung R. B., Sloane D. S., Silber, J. H. (2003). Education levels of hospital nurses and surgical patient mortality. Journal of the American Medical Association (JAMA) 290(12), 1617-1623. (cited by 1044, as of Jan 2020)",,Nursing Education,2003,,,,,,,,
,,"Kutney-Lee A, Sloane DM, & Aiken LH. (2013b). An increase in the number of nurses with baccalaureate degrees is linked to lower rates of postsurgery mortality. Health Affairs, 32(3), 579-586. doi: 10.1377/hlthaff.2012.0504. Download",,Nursing Education,2013,,,,,,,,
,,Podcast on ReachMD: Hospital Safety During the COVID-19 Pandemic: A Closer Look at Nursing-Sensitive Quality Indicators - in this podcast Dr. Lake explains what the nurse work environment is,,Work Environment and Magnet®,,,,,,,,,
,,"Aiken L. H., Smith H. L.,Lake E. T. (1994). Lower Medicare mortality among a set of hospitals known for good nursing care. Medical Care 32(8), 771-787.",,Work Environment and Magnet®,1994,,,,,,,,
,,"Lake, E. T. (2002) Development of the Practice Environment Scale of the Nursing Work Index. Research in Nursing & Health, 25(3), 176-188.",,Work Environment and Magnet®,2002,,,,,,,,
,,"McHugh, M. D., Kelly, L. A., Smith, H. L., Wu, E. S., Vanak, J., & Aiken, L. H. (2012). Lower mortality in Magnet hospitals. Medical Care, 51(5), 382-388. doi: 10.1097/MLR.0b013e3182726cc5. Download",,Work Environment and Magnet®,2012,,,,,,,,
,,"Lake, E.T., et al., (2012). Association between hospital recognition for nursing excellence and outcomes of very-low-birthweight infants. JAMA, 307(16), 1709-1716. Download",,Work Environment and Magnet®,2012,,,,,,,,
,,"Kutney-Lee A, Stimpfel AW, Sloane DM, Cimiotti JP, Quinn LW, Aiken LH. (2015) Changes in patient and nurse outcomes associated with magnet hospital recognition. Med Care:53(6):550-7. Download",,Work Environment and Magnet®,2015,,,,,,,,
,,"Aiken, L. H., Clarke, S. P., Sloane, D. S., Sochalski, J., & Silber, J. H. (2002). Hospital nurse staffing and patient mortality, nurse burnout and job dissatisfaction. Journal of the American Medical Association JAMA, 288(16), 1987-1993. (cited by 2847, as of 1/29/20)",,Nurse Staffing,2002,,,,,,,,
,,"Aiken L., Sloane D., Cimiotti J., Clarke S., Flynn L., Spetz J., Seago J., Smith, H. (2010). Implications of California nurse staffing mandate for other states. Health Services Research, 45, 904-921. Download",,Nurse Staffing,2010,,,,,,,,
,,"McHugh, M. D., Brooks Carthon, M., Sloane, D. M., Wu, E.S., Kelly, L., & Aiken, L. H. (2012). The impact of nurse staffing mandates on safety net hospitals: Lessons from California. The Milbank Quarterly, 90(1): 160-186. Download",,Nurse Staffing,2012,,,,,,,,
,,"Brooks Carthon, J.M., Kutney-Lee, A., Jarrin, O., Sloane D, & Aiken LH. (2012). Nurse staffing and postsurgical outcomes in Black adults. Journal of the American Geriatrics Society 60(6), 1078-1084. DOI: 10.1111/j.1532-5415.2012.03990.x. Download",,Nurse Staffing,2012,,,,,,,,
,,"McHugh, M. D., Berez, J., Small, D. S. (2013). Hospitals With Higher Nurse Staffing Had Lower Odds Of Readmissions Penalties Than Hospitals With Lower Staffing. Health Affairs 32(10), 1740-1747. Download",,Nurse Staffing,2013,,,,,,,,
,,"Kutney-Lee, A., McHugh, M.D., Sloane, D.M., Cimiotti, J.P., Flynn, L., Neff, D.F. & Aiken, L.H. (2009). Nursing: A key to patient satisfaction. Health Affairs, 28(4), w669-w677. (cited by 199). Download",,Multiple Nursing Factors,2009,,,,,,,,
,,"McHugh, M.D., Kutney-Lee, A., Cimiotti, J., Sloane, D.M., Aiken, L.H. (2011). Nurses' widespread job dissatisfaction, burnout, and frustration with health benefits signal problems for patient care. Health Affairs, 2, 202-210. (Cited by 259, Jan 2020). Download",,Multiple Nursing Factors,2011,,,,,,,,
,,"Aiken L.H., Cimiotti J., Sloane D.M., Smith H.L., Flynn L., Neff D. (2011). The effects of nurse staffing and nurse education on patient deaths in hospitals with different nurse work environments. Medical Care, 49, 1047-1053. Download",,Multiple Nursing Factors,2011,,,,,,,,
,,"Brooks Carthon, J.M., Lasater, KM, Sloane, D. Kutney-Lee, A. (2015). The Quality of Hospital Work Environments and Missed Nursing Care are Linked to Heart Failure Readmissions: A Cross Sectional Study of U.S. Hospitals, BMJ Qual Saf, 24 (4): 255-263. Download",,Multiple Nursing Factors,2015,,,,,,,,
,,"Lasater KB, McHugh MD. (2016) Nurse staffing and the work environment linked to readmissions among older adults following elective total hip and knee replacement. Int J Qual Health Care. 28(2):253-8. doi: 10.1093/intqhc/mzw007. Download",,Multiple Nursing Factors,2016,,,,,,,,
,,"McHugh MD, Rochman MF, Sloane DM, Berg RA, Mancini ME, Nadkarni VM, Merchant RM, Aiken LH.(2016)  American Heart Association’s Get With The Guidelines-Resuscitation Investigators. Better Nurse Staffing and Nurse Work Environments Associated With Increased Survival of In-Hospital Cardiac Arrest Patients. Med Care. ;54(1):74-80. Download",,Linking with Other Datasets (example),2016,,,,,,,,
,,"Silber JH, Rosenbaum PR, McHugh MD, Ludwig JM, Smith HL, Niknam BA, Even-Shoshan O, Fleisher LA, Kelz RR, Aiken LH. Comparing the Value of Better Nursing Work Environments Across Different Levels of Patient Risk. (2016) JAMA Surg:151(6):527-36. Download",,Matching,2016,,,,,,,,
,,"Lake ET, Germack HD, Viscardi MK. (2016) Missed nursing care is linked to patient satisfaction: a cross-sectional study of US hospitals. BMJ Qual Saf. ;25(7):535-43. Download",,Missed Care,2016,,,,,,,,
,,"Reardon, C.M., Damschroder, L.J., Ashcraft, L.E. et al. The Consolidated Framework for Implementation Research (CFIR) User Guide: a five-step guide for conducting implementation research using the framework. Implementation Sci 20, 39 (2025). Download.",,Implementation Science,2025,,,,,,,,
